Contador	Resultado medio	Desviación	Tiempo	Tiempo Sys	N. Ejecuciones

PAPI_L1_DCM	573126,125000	20,647715	1,24s	0,87s	20
N. Ejecución	Resultado
1	573144
2	573094
3	573127
4	573147
5	573114
6	573105
7	573141
8	573109
9	573137
10	573071
11	573141
12	573156
13	573149
14	573144
15	573131
16	573121
17	573128
18	573136
19	573108
20	573120

PAPI_L2_DCM	594126,500000	309,479797	1,24s	0,88s	20
N. Ejecución	Resultado
1	594249
2	594185
3	594205
4	594290
5	594187
6	594120
7	594346
8	594218
9	594241
10	594187
11	594117
12	594114
13	594063
14	594247
15	594234
16	594309
17	594131
18	593895
19	594340
20	592852

